designer,url,temporada,fecha_scrapped,fuente,Year
sia-arnika,https://assets.vogue.com/photos/65c5fe2ce529f4a03cf4f738/master/w_2560%2Cc_limit/00029-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2c8943964364a450c2/master/w_2560%2Cc_limit/00030-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2ca86b0939207200ac/master/w_2560%2Cc_limit/00031-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2fffb1d380cd66485b/master/w_2560%2Cc_limit/00032-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2fe829f2bd51abf8ce/master/w_2560%2Cc_limit/00033-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2f4720be8349773f6a/master/w_2560%2Cc_limit/00034-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe317d69089a36c75323/master/w_2560%2Cc_limit/00035-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe33a366ade5aa509904/master/w_2560%2Cc_limit/00036-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe327d69089a36c75325/master/w_2560%2Cc_limit/00037-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe340f21120c886e9899/master/w_2560%2Cc_limit/00038-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe3502605c4438137d4a/master/w_2560%2Cc_limit/00039-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe35e829f2bd51abf8d1/master/w_2560%2Cc_limit/00040-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe37dc99f2f932a7b26a/master/w_2560%2Cc_limit/00041-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe37dc99f2f932a7b26a/master/w_2560%2Cc_limit/00041-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c3589f98836ba517d8703c/master/w_2560%2Cc_limit/00003-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a37cbc336b66e3afa4/master/w_2560%2Cc_limit/00004-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a3155cd73786d73e8f/master/w_2560%2Cc_limit/00005-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a288881ddd1b786d5f/master/w_2560%2Cc_limit/00006-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a61f75ea4a3ea39328/master/w_2560%2Cc_limit/00007-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a77cbc336b66e3afa6/master/w_2560%2Cc_limit/00008-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a7e70648f0944c9fed/master/w_2560%2Cc_limit/00009-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358a9d842f1446a19e80f/master/w_2560%2Cc_limit/00010-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358aa7d94b874e84d6375/master/w_2560%2Cc_limit/00011-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358ab98836ba517d8703e/master/w_2560%2Cc_limit/00012-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358ad4266dbcc03775abb/master/w_2560%2Cc_limit/00013-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358ae7cbc336b66e3afa8/master/w_2560%2Cc_limit/00014-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
malaikaraiss,https://assets.vogue.com/photos/65c358ae7cbc336b66e3afa8/master/w_2560%2Cc_limit/00014-malaikaraiss-fall-2024-ready-to-wear-berlin-credit-brand.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c36629815f201281ecbb48/master/w_2560%2Cc_limit/00002-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c36629f627ae17d3a68ddb/master/w_2560%2Cc_limit/00003-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3662c421a4dd7016b1b2e/master/w_2560%2Cc_limit/00004-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3662dec202b0bc2fa222a/master/w_2560%2Cc_limit/00005-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c3662dcfcc3c80420f6e1d/master/w_2560%2Cc_limit/00006-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c366304266dbcc03775ac1/master/w_2560%2Cc_limit/00007-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c36631cfcc3c80420f6e1f/master/w_2560%2Cc_limit/00008-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c366317b4f97a78ea8c846/master/w_2560%2Cc_limit/00009-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
richert-beil,https://assets.vogue.com/photos/65c366331f75ea4a3ea39331/master/w_2560%2Cc_limit/00010-richert-beil-fall-2024-ready-to-wear-berlin-credit-tom-funk.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
