designer,page_url,year,temporada,city,tipo,url
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/aca2/cfc5/35d4/ed77/6c21/0ba7/c212/44f7/7a51/9019/9019.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e227/0adb/3a48/156b/b907/c52b/bdda/3127/18c2/5e8f/5e8f.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/49e6/6814/c7a8/6762/e3d4/a018/56b8/4452/507b/4b5b/4b5b.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0c7b/320c/4580/1774/3b81/824f/f100/8b19/1b38/1158/1158.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/1525/0f7e/a06e/371a/4038/bb68/bee0/8f8d/5b6a/7cac/7cac.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/a4a6/67b4/7631/51e7/5516/cfb6/c5b7/9d7f/d1c8/b9fb/b9fb.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/38a6/7e34/465d/9b99/1d87/f60b/2ec6/8cce/dfd5/6589/6589.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/a941/b679/6aac/32a1/4298/e03c/aec7/a2bc/8c83/f973/f973.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/be38/1b4c/7c99/09eb/d0dc/7c47/56d3/6e6b/ed5c/a23d/a23d.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/493b/c57a/bcda/534a/ffe9/9d00/9fed/8954/1d25/bc6f/bc6f.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e716/07a8/1b1b/3687/45a1/da79/40ac/16a8/ae56/ac4d/ac4d.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/3b41/4bfd/a2de/08a9/1789/61c6/842c/0d9d/9b01/bf40/bf40.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4cbb/3dbf/cb51/3b8c/10cc/777b/a50d/e899/958d/1ed4/1ed4.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4448/1a36/0b74/9940/a9ed/bf47/1eef/4305/16e0/5402/5402.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/21ec/0433/de8d/2556/80d9/447d/fff1/a701/2c07/3578/3578.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9f5d/f1d5/48d5/7e0f/4089/4854/4ed5/7451/fbf6/dba4/dba4.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/df33/100e/0fde/a7c2/f898/8fb8/f98e/21ba/1735/58eb/58eb.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/d9cb/4d84/b390/91d3/aeb0/4289/17b5/8e07/3675/cf7d/cf7d.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4b6b/ae33/5b3a/3474/f20d/f6b3/2873/122d/f802/57e2/57e2.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9da5/603f/58e9/289c/4940/8ca0/13bc/0078/f2bd/eb78/eb78.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/2432/ab8f/9d28/677c/73bd/7ee3/905d/37d7/7787/8eb7/8eb7.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/df55/d138/3638/f518/e460/c9aa/dc05/4fa5/9f60/5bb6/5bb6.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/af4b/cfb0/7375/8a73/6328/49ee/555b/aa62/de0a/0d07/0d07.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/f033/099c/6e2f/55f1/8cc5/f4fd/7f51/709a/935d/ce07/ce07.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/f2b0/1ab7/39bc/2cd6/1431/103a/9413/f955/121f/efe4/efe4.jpg"
Mommanwa,"https://es.fashionnetwork.com/galeries/photos/Mommanwa,54295.html",2024,Otoño - invierno,milán,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e728/6597/ccfe/7dec/d23b/3aef/9817/8584/46c2/eb84/eb84.jpg"
